Month,Seizure Port,Description of Goods,value,name
6/2012,Auckland,Cameras,4,a
6/2012,Auckland,Cameras - video,1,b
6/2012,Auckland,Cellphones,9,c
6/2012,Auckland,Computers - tablets,2,d
6/2012,Auckland,Discs - DVDs,4,e
6/2012,Auckland,Hard drives - external,5,f
6/2012,Auckland,iPods,1,g
6/2012,Auckland,Laptops,7,h
6/2012,Auckland,Modem,1,i
6/2012,Auckland,MP3 players,1,j
6/2012,Auckland,Portable storage devices,10,k
